(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2012.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2026.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2040.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2054.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2068.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2082.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrBr_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2096.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2110.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2124.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2138.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2152.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2166.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2180.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2194.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrBr_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2208.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2222.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2236.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2250.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2264.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2278.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2292.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2306.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2320.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2334.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2348.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2362.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2376.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrBr_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2390.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2404.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2418.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2432.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2446.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2460.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2474.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2488.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2502.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2516.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2530.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2544.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2558.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2572.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrBr_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2586.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2600.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2614.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2628.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2642.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2656.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrBr_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2670.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2684.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2698.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2712.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2726.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2740.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2754.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2768.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2782.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2796.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2810.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2824.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 2838.00, Rho = 0.165
