(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 672.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 678.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 684.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 690.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 696.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 702.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 708.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 714.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 720.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 726.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 732.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 738.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 744.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 750.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_ETH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 756.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 762.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 768.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 774.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 780.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 786.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 792.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 798.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 804.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 810.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 816.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 822.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 828.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 834.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 840.00, Rho = -1.230
