(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 468.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 474.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 480.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 492.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 498.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 504.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 510.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 516.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 522.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 528.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 534.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 546.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 552.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 558.00, Rho = -1.230
(iter 93) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrBrI_DMA_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 564.00, Rho = -1.230
