(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 896.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 910.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 924.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 938.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 952.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 966.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrBr_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 980.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 994.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1008.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1022.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1036.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1050.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1064.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1078.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1092.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1106.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1120.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1134.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1148.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1162.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClCl_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1176.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1190.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1204.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1218.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 1232.00, Rho = -1.230
(iter 88) MAPbIII_THTO_0 = 29.1326, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1246.00, Rho = -1.230
